C529.TCGA-2A-A8VL-01A-21D-A377-08.1 C529.TCGA-2A-A8VL-10A-01D-A37A-08.1
C529.TCGA-EJ-A8FU-01A-11D-A364-08.1 C529.TCGA-EJ-A8FU-10A-01D-A362-08.1
C529.TCGA-EJ-AB20-01A-12D-A41K-08.1 C529.TCGA-EJ-AB20-10A-01D-A41N-08.3
C529.TCGA-EJ-AB27-01A-11D-A41K-08.2 C529.TCGA-EJ-AB27-10A-01D-A41N-08.2
C529.TCGA-FC-7708-01A-11D-2114-08.1 C529.TCGA-FC-7708-10A-01D-2115-08.1
C529.TCGA-FC-7961-01A-11D-A29Q-08.4 C529.TCGA-FC-7961-10A-01D-A29Q-08.6
C529.TCGA-FC-A4JI-01A-11D-A257-08.1 C529.TCGA-FC-A4JI-10A-01D-A25A-08.1
C529.TCGA-FC-A5OB-01A-11D-A29Q-08.2 C529.TCGA-FC-A5OB-10A-01D-A29Q-08.2
C529.TCGA-FC-A66V-01A-21D-A30E-08.1 C529.TCGA-FC-A66V-10A-01D-A30H-08.1
C529.TCGA-FC-A6HD-01A-11D-A31L-08.1 C529.TCGA-FC-A6HD-10A-01D-A31J-08.1
C529.TCGA-FC-A8O0-01A-41D-A377-08.1 C529.TCGA-FC-A8O0-10A-01D-A37A-08.1
C529.TCGA-G9-6329-01A-13D-1961-08.2 C529.TCGA-G9-6329-10A-01D-1961-08.2
C529.TCGA-G9-6332-01A-11D-1786-08.4 C529.TCGA-G9-6332-10A-01D-1786-08.4
C529.TCGA-G9-6333-01A-12D-1961-08.2 C529.TCGA-G9-6333-10A-01D-1961-08.2
C529.TCGA-G9-6336-01A-11D-1786-08.3 C529.TCGA-G9-6336-10A-01D-1786-08.3
C529.TCGA-G9-6338-01A-12D-1961-08.2 C529.TCGA-G9-6338-10A-01D-1961-08.2
C529.TCGA-G9-6339-01A-12D-A30X-08.1 C529.TCGA-G9-6339-10A-01D-A30X-08.1
C529.TCGA-G9-6342-01A-11D-1961-08.2 C529.TCGA-G9-6342-10A-01D-1961-08.2
C529.TCGA-G9-6343-01A-21D-1961-08.2 C529.TCGA-G9-6343-10A-01D-1961-08.2
C529.TCGA-G9-6347-01A-11D-A31L-08.3 C529.TCGA-G9-6347-10A-01D-A31J-08.3
C529.TCGA-G9-6348-01A-11D-1786-08.3 C529.TCGA-G9-6348-10A-01D-1786-08.3
C529.TCGA-G9-6351-01A-21D-1961-08.2 C529.TCGA-G9-6351-10A-01D-1961-08.2
C529.TCGA-G9-6353-01A-11D-1961-08.2 C529.TCGA-G9-6353-10A-01D-1961-08.2
C529.TCGA-G9-6354-01A-11D-A30X-08.1 C529.TCGA-G9-6354-10A-01D-A30X-08.1
C529.TCGA-G9-6356-01A-11D-1786-08.3 C529.TCGA-G9-6356-10A-01D-1786-08.3
C529.TCGA-G9-6361-01A-21D-1961-08.2 C529.TCGA-G9-6361-10A-01D-1961-08.2
C529.TCGA-G9-6362-01A-11D-1786-08.5 C529.TCGA-G9-6362-10A-01D-1786-08.5
C529.TCGA-G9-6363-01A-21D-1786-08.3 C529.TCGA-G9-6363-10A-01D-1786-08.3
C529.TCGA-G9-6364-01A-21D-1786-08.3 C529.TCGA-G9-6364-10A-01D-1786-08.3
C529.TCGA-G9-6365-01A-11D-1786-08.3 C529.TCGA-G9-6365-10A-01D-1786-08.3
C529.TCGA-G9-6366-01A-11D-2114-08.1 C529.TCGA-G9-6366-10A-01D-2115-08.1
C529.TCGA-G9-6367-01A-11D-1786-08.3 C529.TCGA-G9-6367-10A-01D-1786-08.3
C529.TCGA-G9-6369-01A-21D-1961-08.2 C529.TCGA-G9-6369-10A-01D-1961-08.2
C529.TCGA-G9-6370-01A-11D-1786-08.3 C529.TCGA-G9-6370-10A-01D-1786-08.3
C529.TCGA-G9-6371-01A-11D-1786-08.3 C529.TCGA-G9-6371-10A-01D-1786-08.3
C529.TCGA-G9-6373-01A-11D-1786-08.4.v1 C529.TCGA-G9-6373-10A-01D-1786-08.7
C529.TCGA-G9-6377-01A-11D-1961-08.2 C529.TCGA-G9-6377-10A-01D-1961-08.2
C529.TCGA-G9-6378-01A-11D-1786-08.3 C529.TCGA-G9-6378-10A-01D-1786-08.3
C529.TCGA-G9-6379-01A-11D-A31L-08.3 C529.TCGA-G9-6379-10A-01D-A31J-08.3
C529.TCGA-G9-6384-01A-11D-1786-08.3 C529.TCGA-G9-6384-10A-01D-1786-08.3
C529.TCGA-G9-6385-01A-11D-1786-08.3 C529.TCGA-G9-6385-10A-01D-1786-08.3
C529.TCGA-G9-6494-01A-11D-1786-08.3 C529.TCGA-G9-6494-10A-01D-1786-08.3
C529.TCGA-G9-6496-01A-11D-1786-08.3 C529.TCGA-G9-6496-10A-01D-1786-08.3
C529.TCGA-G9-6498-01A-12D-A30X-08.1 C529.TCGA-G9-6498-10A-01D-A30X-08.1
C529.TCGA-G9-6499-01A-12D-1961-08.2 C529.TCGA-G9-6499-10A-01D-1961-08.2
C529.TCGA-G9-7509-01A-11D-A41K-08.1 C529.TCGA-G9-7509-10A-01D-A41N-08.3
C529.TCGA-G9-7510-01A-11D-2260-08.1 C529.TCGA-G9-7510-10A-01D-2260-08.1
C529.TCGA-G9-7519-01A-11D-2260-08.1 C529.TCGA-G9-7519-10A-01D-2260-08.1
C529.TCGA-G9-7521-01A-11D-2260-08.1 C529.TCGA-G9-7521-10A-01D-2260-08.1
C529.TCGA-G9-7522-01A-11D-2260-08.1 C529.TCGA-G9-7522-10A-01D-2260-08.1
C529.TCGA-G9-7523-01A-11D-2260-08.1 C529.TCGA-G9-7523-10A-01D-2260-08.1
C529.TCGA-G9-7525-01A-31D-2260-08.1 C529.TCGA-G9-7525-10A-01D-2260-08.1
C529.TCGA-G9-A9S0-01A-11D-A41K-08.1 C529.TCGA-G9-A9S0-10A-01D-A41N-08.3
C529.TCGA-G9-A9S4-01A-11D-A41K-08.1 C529.TCGA-G9-A9S4-10A-01D-A41N-08.3
C529.TCGA-G9-A9S7-01A-11D-A41K-08.1 C529.TCGA-G9-A9S7-10A-01D-A41N-08.3
C529.TCGA-H9-7775-01A-11D-2114-08.1 C529.TCGA-H9-7775-10A-01D-2115-08.1
C529.TCGA-H9-A6BX-01A-31D-A30X-08.1 C529.TCGA-H9-A6BX-10A-01D-A30X-08.1
C529.TCGA-H9-A6BY-01A-11D-A30E-08.1 C529.TCGA-H9-A6BY-10A-01D-A30H-08.1
C529.TCGA-HC-7075-01A-11D-1961-08.2 C529.TCGA-HC-7075-10A-01D-1961-08.2
C529.TCGA-HC-7077-01A-11D-1961-08.2 C529.TCGA-HC-7077-10A-01D-1961-08.2
C529.TCGA-HC-7078-01A-11D-2114-08.1 C529.TCGA-HC-7078-10A-01D-2115-08.1
C529.TCGA-HC-7079-01A-11D-1961-08.2 C529.TCGA-HC-7079-10A-01D-1961-08.2
C529.TCGA-HC-7080-01A-11D-1961-08.2 C529.TCGA-HC-7080-10A-01D-1961-08.2
C529.TCGA-HC-7081-01A-11D-1961-08.2 C529.TCGA-HC-7081-10A-01D-1962-08.2
C529.TCGA-HC-7209-01A-11D-2114-08.1 C529.TCGA-HC-7209-10A-01D-2115-08.1
C529.TCGA-HC-7210-01A-11D-2114-08.4 C529.TCGA-HC-7210-10A-01D-2115-08.5
C529.TCGA-HC-7211-01A-11D-2114-08.3 C529.TCGA-HC-7211-11A-01D-2114-08.2
C529.TCGA-HC-7212-01A-11D-2114-08.1 C529.TCGA-HC-7212-10A-01D-2115-08.1
C529.TCGA-HC-7213-01A-11D-2114-08.1 C529.TCGA-HC-7213-10A-01D-2115-08.1
C529.TCGA-HC-7230-01A-11D-2114-08.1 C529.TCGA-HC-7230-10A-01D-2115-08.1
C529.TCGA-HC-7231-01A-11D-2114-08.1 C529.TCGA-HC-7231-10A-01D-2115-08.1
C529.TCGA-HC-7232-01A-11D-2114-08.1 C529.TCGA-HC-7232-10A-01D-2115-08.1
C529.TCGA-HC-7233-01A-11D-2114-08.1 C529.TCGA-HC-7233-10A-01D-2115-08.1
C529.TCGA-HC-7736-01A-11D-2114-08.2 C529.TCGA-HC-7736-10A-01D-2115-08.2
C529.TCGA-HC-7737-01A-11D-2114-08.1 C529.TCGA-HC-7737-11A-02D-2114-08.1
C529.TCGA-HC-7738-01A-11D-2114-08.2 C529.TCGA-HC-7738-10A-01D-2115-08.2
C529.TCGA-HC-7740-01A-11D-2114-08.2 C529.TCGA-HC-7740-10A-01D-2115-08.2
C529.TCGA-HC-7742-01A-11D-2114-08.1 C529.TCGA-HC-7742-10A-01D-2115-08.1
C529.TCGA-HC-7744-01A-11D-2114-08.1 C529.TCGA-HC-7744-10A-01D-2115-08.1
C529.TCGA-HC-7745-01A-11D-2114-08.1 C529.TCGA-HC-7745-10A-01D-2115-08.1
C529.TCGA-HC-7747-01A-11D-2114-08.1 C529.TCGA-HC-7747-10A-01D-2115-08.1
C529.TCGA-HC-7748-01A-11D-2114-08.2 C529.TCGA-HC-7748-10A-01D-2115-08.2
C529.TCGA-HC-7749-01A-11D-2114-08.1 C529.TCGA-HC-7749-10A-01D-2115-08.1
C529.TCGA-HC-7750-01A-11D-2114-08.1 C529.TCGA-HC-7750-10A-01D-2115-08.1
C529.TCGA-HC-7752-01A-11D-2114-08.1 C529.TCGA-HC-7752-10A-01D-2115-08.1
C529.TCGA-HC-7817-01B-11D-A29Q-08.2 C529.TCGA-HC-7817-10A-01D-A29Q-08.2
C529.TCGA-HC-7818-01A-11D-2114-08.1 C529.TCGA-HC-7818-10A-01D-2115-08.1
C529.TCGA-HC-7819-01A-11D-2114-08.1 C529.TCGA-HC-7819-10A-01D-2115-08.1
C529.TCGA-HC-7820-01A-11D-2114-08.1 C529.TCGA-HC-7820-10A-01D-2115-08.1
C529.TCGA-HC-7821-01A-12D-2114-08.1 C529.TCGA-HC-7821-10A-01D-2115-08.1
C529.TCGA-HC-8213-01A-11D-A29Q-08.2 C529.TCGA-HC-8213-10A-01D-A29Q-08.2
C529.TCGA-HC-8216-01A-11D-A29Q-08.2 C529.TCGA-HC-8216-10A-01D-A29Q-08.2
C529.TCGA-HC-8256-01A-11D-2260-08.1 C529.TCGA-HC-8256-10A-01D-2260-08.1
C529.TCGA-HC-8257-01A-11D-2260-08.1 C529.TCGA-HC-8257-10A-01D-2260-08.1
C529.TCGA-HC-8258-01A-11D-2260-08.1 C529.TCGA-HC-8258-10A-01D-2260-08.1
C529.TCGA-HC-8259-01A-11D-2260-08.1 C529.TCGA-HC-8259-10A-01D-2260-08.1
C529.TCGA-HC-8260-01A-11D-2260-08.1 C529.TCGA-HC-8260-10A-01D-2260-08.1
C529.TCGA-HC-8261-01A-11D-2260-08.1 C529.TCGA-HC-8261-10A-01D-2260-08.1
C529.TCGA-HC-8262-01A-11D-2260-08.2 C529.TCGA-HC-8262-10A-01D-2260-08.1
C529.TCGA-HC-8264-01B-11D-2395-08.1 C529.TCGA-HC-8264-10A-01D-2395-08.1
C529.TCGA-HC-8265-01A-11D-2260-08.1 C529.TCGA-HC-8265-10A-01D-2260-08.1
C529.TCGA-HC-8266-01A-11D-2260-08.1 C529.TCGA-HC-8266-10A-01D-2260-08.1
C529.TCGA-HC-A48F-01A-11D-A257-08.1 C529.TCGA-HC-A48F-10A-01D-A25A-08.1
C529.TCGA-HC-A4ZV-01A-11D-A26M-08.5 C529.TCGA-HC-A4ZV-10A-01D-A26K-08.5
C529.TCGA-HC-A631-01A-11D-A29Q-08.2 C529.TCGA-HC-A631-10A-01D-A29Q-08.2
C529.TCGA-HC-A632-01A-11D-A29Q-08.2 C529.TCGA-HC-A632-10A-01D-A29Q-08.2
C529.TCGA-HC-A6AL-01A-11D-A30E-08.1 C529.TCGA-HC-A6AL-10A-01D-A30H-08.1
C529.TCGA-HC-A6AN-01A-11D-A30E-08.1 C529.TCGA-HC-A6AN-10A-01D-A30H-08.1
